Ottoneu ID,Name,FG ID,FG Minor ID,MLBAM ID,Birthday,Positions,vs LHP,vs RHP,Confidence,Last Updated
40927,Seiya Suzuki,30116,sa3018052,673548,08/18/1994,OF,Lock,Start,High,11/28/2023
37216,Spencer Steer,26323,sa3010586,668715,12/07/1997,1B/2B/SS/3B,Lock,Start,Medium,11/28/2023
37786,Josh Jung,26299,sa3011468,673962,02/12/1998,3B,Start,Spot,Medium,11/28/2023
33685,Jarren Duran,24617,sa3006786,680776,09/05/1996,OF,Sit,Start,Low,11/28/2023
26292,Yainer Diaz,23003,sa3003386,673237,09/21/1998,C/1B,Sit,Start,Low,11/28/2023
33623,Nolan Gorman,22263,sa3007017,669357,05/10/2000,2B,Spot,Start,Low,11/28/2023
33676,Bo Naylor,21865,sa3008247,666310,2/21/2000,C,Start,Spot,Low,11/28/2023
23632,Will Benson,21853,sa917927,666181,06/16/1998,OF,Sit,Spot,Low,11/28/2023
33217,Jonathan Aranda,21837,sa919293,666018,5/23/1998,1B/2B/3B,Sit,Start,Low,11/28/2023
34601,Lars Nootbaar,21454,sa3006649,663457,09/08/1997,OF,Spot,Start,Medium,11/28/2023
23831,Isaac Paredes,20036,sa920275,670623,02/18/1999,1B/2B/3B,Start,Start,Medium,11/28/2023
23833,Daulton Varsho,19918,sa3002838,662139,07/02/1996,C/OF,Sit,Sit,Low,11/28/2023
23793,Brent Rooker,19627,sa3003172,667670,11/01/1994,OF,Sit,Spot,Low,11/28/2023
26504,Chas McCormick,19599,sa3004174,676801,04/19/1995,OF,Lock,Spot,High,11/28/2023
23805,Austin Hays,19363,sa874219,669720,7/5/1995,OF,Spot,Spot,High,11/28/2023
32655,Luke Raley,19354,sa918048,670042,09/19/1994,1B/OF,Sit,Spot,Low,11/28/2023
31623,Jake Fraley,19260,sa857756,641584,05/25/1995,OF,Sit,Start,High,11/28/2023
23327,Ronald Acuña Jr.,18401,sa877503,660670,12/18/1997,OF,Lock,Lock,High,12/1/2023
18344,Rafael Devers,17350,sa828312,646240,10/24/1996,3B,Start,Start,High,11/28/2023
18408,Alex Verdugo,17027,sa828699,657077,05/15/1996,OF,Sit,Start,High,11/28/2023
18256,Kris Bryant,15429,sa549381,592178,01/04/1992,OF,Start,Spot,Low,11/28/2023
18216,Corey Seager,13624,sa657913,608369,4/27/1994,SS,Start,Lock,High,11/28/2023
18389,Christian Walker,13419,sa503826,572233,03/28/1991,1B,Start,Start,High,11/28/2023
18433,Orlando Arcia,13185,sa596917,606115,08/04/1994,2B/OF,Spot,Sit,Low,11/28/2023
18122,Francisco Lindor,12916,sa597754,596019,11/14/1993,SS,Start,Start,High,11/28/2023
18124,George Springer,12856,sa526414,543807,09/19/1989,OF,Spot,Spot,Medium,11/28/2023
14131,Max Kepler,12144,sa549507,596146,02/10/1993,OF,Spot,Start,Medium,11/28/2023
14864,J.T. Realmuto,11739,sa548255,592663,3/18/1991,C,Start,Start,High,11/28/2023
14893,Christian Yelich,11477,sa548190,592885,12/5/1991,OF,Spot,Start,High,11/28/2023
8259,Charlie Blackmon,7859,sa454446,453568,07/01/1986,OF,Spot,Spot,High,11/28/2023
5918,Jose Altuve,5417,sa455591,514888,05/06/1990,2B,Lock,Lock,High,11/28/2023
5201,Giancarlo Stanton,4949,sa390316,519317,11/8/1989,OF,Sit,Sit,Low,11/28/2023
40508,Kyle Manzardo,,sa3017342,700932,07/18/2000,1B,Spot,Start,Low,11/28/2023
40389,Hunter Goodman,29715,sa3017173,696100,10/08/1999,C/1B,Sit,Spot,Low,11/28/2023
38378,Coby Mayo,,sa3014479,691723,12/10/2001,3B,Sit,Sit,Low,11/28/2023
36683,Anthony Volpe,27647,sa3010868,683011,04/28/2001,SS,Spot,Sit,Low,11/28/2023
33949,Andy Pages,,sa3005625,681624,12/08/2000,OF,Sit,Sit,Low,11/28/2023
40456,Zack Gelof,29766,sa3017286,680869,10/19/1999,2B/3B,Spot,Start,Low,11/28/2023
40052,Henry Davis,29617,sa3017042,680779,09/21/1999,C,Spot,Spot,Low,11/28/2023
38408,Nick Loftin,27630,sa3014511,679845,09/25/1998,3B/OF,Spot,Sit,Low,11/28/2023
27058,Wilyer Abreu,23772,sa3005082,677800,06/24/1999,OF,Sit,Start,Low,11/28/2023
38398,Jordan Westburg,27815,sa3014499,676059,02/18/1999,2B/SS/3B,Sit,Spot,Low,11/28/2023
40311,Justyn-Henry Malloy,,sa3017073,669234,02/19/2000,3B/OF,Spot,Spot,Low,11/28/2023
42722,Masataka Yoshida,31837,,807799,07/15/1993,OF,Start,Start,Low,11/28/2023
43932,Nolan Schanuel,33189,,694384,2/14/2002,1B,Start,Start,Low,11/28/2023